date,time,round,day,venue,result,GF,GA,opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes
2023-08-20,18:30:00,Matchweek 1,Sun,Away,W,2,0,Sassuolo,1.3,0.4,51,12298,Marten de Roon,3-5-2,4-2-3-1,Matteo Marchetti,/en/matches/32dc37db/Sassuolo-Atalanta-August-20-2023-Serie-A,
2023-08-26,18:30:00,Matchweek 2,Sat,Away,L,1,2,Frosinone,1.6,0.7,63,13426,Marten de Roon,3-4-1-2,4-2-3-1,Juan Sacchi,/en/matches/0b355cdd/Frosinone-Atalanta-August-26-2023-Serie-A,
2023-09-02,20:45:00,Matchweek 3,Sat,Home,W,3,0,Monza,1.3,0.4,41,14985,Marten de Roon,3-4-1-2,3-4-3,Matteo Marcenaro,/en/matches/6e72c38b/Atalanta-Monza-September-2-2023-Serie-A,
2023-09-17,18:00:00,Matchweek 4,Sun,Away,L,2,3,Fiorentina,0.7,1.1,43,32100,Rafael Tolói,3-4-1-2,4-2-3-1,Luca Pairetto,/en/matches/2a18afe9/Fiorentina-Atalanta-September-17-2023-Serie-A,
2023-09-24,15:00:00,Matchweek 5,Sun,Home,W,2,0,Cagliari,1.7,0.8,56,14739,Marten de Roon,3-4-3,3-5-2,Ermanno Feliciani,/en/matches/915c6bb6/Atalanta-Cagliari-September-24-2023-Serie-A,
2023-09-27,18:30:00,Matchweek 6,Wed,Away,W,1,0,Hellas Verona,1.2,0.5,49,15936,Rafael Tolói,3-4-3,3-4-3,Federico Dionisi,/en/matches/3e492e66/Hellas-Verona-Atalanta-September-27-2023-Serie-A,
2023-10-01,18:00:00,Matchweek 7,Sun,Home,D,0,0,Juventus,1.2,0.2,52,14811,Rafael Tolói,3-4-3,3-1-4-2,Daniele Chiffi,/en/matches/13a50e02/Atalanta-Juventus-October-1-2023-Serie-A,
2023-10-08,15:00:00,Matchweek 8,Sun,Away,L,2,3,Lazio,1.0,1.6,54,41000,Marten de Roon,3-4-1-2,4-3-3,Daniele Orsato,/en/matches/c0603b97/Lazio-Atalanta-October-8-2023-Serie-A,
2023-10-22,18:00:00,Matchweek 9,Sun,Home,W,2,0,Genoa,1.2,1.0,56,14848,Rafael Tolói,3-4-3,3-5-2,Livio Marinelli,/en/matches/045aca2a/Atalanta-Genoa-October-22-2023-Serie-A,
2023-10-30,18:30:00,Matchweek 10,Mon,Away,W,3,0,Empoli,1.6,0.3,56,7825,Berat Djimsiti,3-4-1-2,4-3-3,Luca Massimi,/en/matches/6e46ce92/Empoli-Atalanta-October-30-2023-Serie-A,
2023-11-04,18:00:00,Matchweek 11,Sat,Home,L,1,2,Inter,1.0,1.3,54,14945,Marten de Roon,3-4-1-2,3-5-2,Simone Sozza,/en/matches/c8fcbfaf/Atalanta-Internazionale-November-4-2023-Serie-A,
2023-11-12,15:00:00,Matchweek 12,Sun,Away,D,1,1,Udinese,0.7,1.5,65,23100,Marten de Roon,3-4-1-2,3-5-1-1,Gianluca Aureliano,/en/matches/df8d2100/Udinese-Atalanta-November-12-2023-Serie-A,
2023-11-25,18:00:00,Matchweek 13,Sat,Home,L,1,2,Napoli,1.0,2.0,44,14743,Berat Djimsiti,3-4-1-2,4-3-3,Maurizio Mariani,/en/matches/67af3925/Atalanta-Napoli-November-25-2023-Serie-A,
2023-12-04,20:45:00,Matchweek 14,Mon,Away,L,0,3,Torino,0.5,1.7,46,18507,Marten de Roon,3-4-3,3-4-1-2,Marco Piccinini,/en/matches/426a05d8/Torino-Atalanta-December-4-2023-Serie-A,
2023-12-09,18:00:00,Matchweek 15,Sat,Home,W,3,2,Milan,3.3,1.5,42,14907,Marten de Roon,3-4-1-2,4-3-3,Federico La Penna,/en/matches/0c234040/Atalanta-Milan-December-9-2023-Serie-A,
2023-12-18,20:45:00,Matchweek 16,Mon,Home,W,4,1,Salernitana,1.9,1.3,51,14264,Marten de Roon,3-4-1-2,4-3-2-1,Ermanno Feliciani,/en/matches/09971293/Atalanta-Salernitana-December-18-2023-Serie-A,
2023-12-23,15:00:00,Matchweek 17,Sat,Away,L,0,1,Bologna,1.2,0.7,40,28082,Marten de Roon,3-4-1-2,4-2-3-1,Antonio Rapuano,/en/matches/bf3695d0/Bologna-Atalanta-December-23-2023-Serie-A,
2023-12-30,12:30:00,Matchweek 18,Sat,Home,W,1,0,Lecce,1.1,1.2,62,14864,Marten de Roon,3-4-1-2,4-3-3,Gianluca Manganiello,/en/matches/65cf973f/Atalanta-Lecce-December-30-2023-Serie-A,
2024-01-07,20:45:00,Matchweek 19,Sun,Away,D,1,1,Roma,0.7,2.1,44,60022,Marten de Roon,3-4-3,3-5-2,Gianluca Aureliano,/en/matches/6d865e81/Roma-Atalanta-January-7-2024-Serie-A,
2024-01-15,20:45:00,Matchweek 20,Mon,Home,W,5,0,Frosinone,3.7,0.4,48,14195,Marten de Roon,3-4-3,4-1-4-1,Alessandro Prontera,/en/matches/fb9c9cdb/Atalanta-Frosinone-January-15-2024-Serie-A,
2024-01-27,15:00:00,Matchweek 22,Sat,Home,W,2,0,Udinese,1.1,0.6,58,14716,Marten de Roon,3-4-3,3-5-1-1,Marco Piccinini,/en/matches/8d8d45e1/Atalanta-Udinese-January-27-2024-Serie-A,
2024-02-04,18:00:00,Matchweek 23,Sun,Home,W,3,1,Lazio,2.3,1.2,52,14492,Marten de Roon,3-4-1-2,4-3-3,Marco Guida,/en/matches/839bed1a/Atalanta-Lazio-February-4-2024-Serie-A,
2024-02-11,18:00:00,Matchweek 24,Sun,Away,W,4,1,Genoa,2.1,0.8,45,31201,Marten de Roon,3-4-3,3-5-2,Andrea Colombo,/en/matches/af2e9e84/Genoa-Atalanta-February-11-2024-Serie-A,
2024-02-17,20:45:00,Matchweek 25,Sat,Home,W,3,0,Sassuolo,4.2,1.6,56,14474,Berat Djimsiti,3-4-1-2,4-2-3-1,Alessandro Prontera,/en/matches/1e203a3e/Atalanta-Sassuolo-February-17-2024-Serie-A,
2024-02-25,20:45:00,Matchweek 26,Sun,Away,D,1,1,Milan,1.1,1.3,32,71264,Marten de Roon,3-4-1-2,4-2-3-1,Daniele Orsato,/en/matches/030a751b/Milan-Atalanta-February-25-2024-Serie-A,
2024-02-28,20:45:00,Matchweek 21,Wed,Away,L,0,4,Inter,0.3,2.0,41,71422,Berat Djimsiti,3-4-1-2,3-5-2,Andrea Colombo,/en/matches/70446f62/Internazionale-Atalanta-February-28-2024-Serie-A,
2024-03-03,18:00:00,Matchweek 27,Sun,Home,L,1,2,Bologna,1.4,1.3,55,14931,Marten de Roon,3-4-1-2,4-1-4-1,Federico La Penna,/en/matches/27aab55a/Atalanta-Bologna-March-3-2024-Serie-A,
2024-03-10,18:00:00,Matchweek 28,Sun,Away,D,2,2,Juventus,0.5,1.3,48,39206,Berat Djimsiti,3-4-3,3-4-3,Marco Guida,/en/matches/b18f50f9/Juventus-Atalanta-March-10-2024-Serie-A,
2024-03-30,12:30:00,Matchweek 30,Sat,Away,W,3,0,Napoli,0.9,1.6,39,50000,Marten de Roon,3-4-1-2,4-3-3,Luca Pairetto,/en/matches/45e6d215/Napoli-Atalanta-March-30-2024-Serie-A,
2024-04-07,18:00:00,Matchweek 31,Sun,Away,L,1,2,Cagliari,0.5,0.7,61,16342,Rafael Tolói,3-4-1-2,4-3-3,Antonio Rapuano,/en/matches/3a4f86ae/Cagliari-Atalanta-April-7-2024-Serie-A,
2024-04-15,20:45:00,Matchweek 32,Mon,Home,D,2,2,Hellas Verona,1.5,1.5,59,14666,Rafael Tolói,3-4-1-2,4-1-4-1,Juan Sacchi,/en/matches/6a69ffd2/Atalanta-Hellas-Verona-April-15-2024-Serie-A,
2024-04-21,20:45:00,Matchweek 33,Sun,Away,W,2,1,Monza,1.5,1.1,42,13983,Rafael Tolói,3-4-3,4-2-3-1,Antonio Giua,/en/matches/8959e7b1/Monza-Atalanta-April-21-2024-Serie-A,
2024-04-28,18:00:00,Matchweek 34,Sun,Home,W,2,0,Empoli,1.9,0.4,59,14614,Marten de Roon,3-4-3,3-4-3,Michael Fabbri,/en/matches/526fed3e/Atalanta-Empoli-April-28-2024-Serie-A,
2024-05-06,18:00:00,Matchweek 35,Mon,Away,W,2,1,Salernitana,1.9,0.5,68,12980,Marten de Roon,3-4-3,3-4-3,Ermanno Feliciani,/en/matches/4d799b02/Salernitana-Atalanta-May-6-2024-Serie-A,
2024-05-12,20:45:00,Matchweek 36,Sun,Home,W,2,1,Roma,2.7,1.2,58,14895,Marten de Roon,3-4-3,4-2-3-1,Marco Guida,/en/matches/9eba4ff1/Atalanta-Roma-May-12-2024-Serie-A,
2024-05-18,18:00:00,Matchweek 37,Sat,Away,W,2,0,Lecce,1.6,1.3,56,26354,Rafael Tolói,3-4-1-2,4-4-2,Antonio Rapuano,/en/matches/d63c561d/Lecce-Atalanta-May-18-2024-Serie-A,
2024-05-26,18:00:00,Matchweek 38,Sun,Home,W,3,0,Torino,2.6,1.1,40,14839,Rafael Tolói,3-4-3,3-4-1-2,Simone Sozza,/en/matches/a2652733/Atalanta-Torino-May-26-2024-Serie-A,
2024-06-02,18:00:00,Matchweek 29,Sun,Home,L,2,3,Fiorentina,1.7,1.2,53,14851,Rafael Tolói,3-4-1-2,4-2-3-1,Daniele Orsato,/en/matches/ceb127e3/Atalanta-Fiorentina-June-2-2024-Serie-A,
2023-08-21,20:45:00,Matchweek 1,Mon,Home,L,0,2,Milan,1.0,0.9,53,30203,Nicolás Domínguez,4-1-3-2,4-3-3,Luca Pairetto,/en/matches/93dccf6e/Bologna-Milan-August-21-2023-Serie-A,
2023-08-27,18:30:00,Matchweek 2,Sun,Away,D,1,1,Juventus,0.5,0.8,42,36107,Riccardo Orsolini,4-2-3-1,3-1-4-2,Marco Di Bello,/en/matches/6992283e/Juventus-Bologna-August-27-2023-Serie-A,
2023-09-02,18:30:00,Matchweek 3,Sat,Home,W,2,1,Cagliari,2.3,0.5,71,22818,Stefan Posch,4-2-3-1,4-1-3-2,Daniele Orsato,/en/matches/1b8aeae3/Bologna-Cagliari-September-2-2023-Serie-A,
2023-09-18,20:45:00,Matchweek 4,Mon,Away,D,0,0,Hellas Verona,0.6,0.4,60,18863,Lorenzo De Silvestri,4-2-3-1,3-4-3,Federico La Penna,/en/matches/2e114c4b/Hellas-Verona-Bologna-September-18-2023-Serie-A,
2023-09-24,18:00:00,Matchweek 5,Sun,Home,D,0,0,Napoli,0.2,2.1,49,26621,Michel Aebischer,4-2-3-1,4-3-3,Giovanni Ayroldi,/en/matches/17137b70/Bologna-Napoli-September-24-2023-Serie-A,
